SampleDate,SampleMonth,SampleLocation,CalciumConc_mgL
1/13/1944 0:00,1.00,USGS-09152500,148
5/11/1944 0:00,5.00,USGS-09152500,42
6/11/1944 0:00,6.00,USGS-09152500,45
9/11/1944 0:00,9.00,USGS-09152500,240
9/15/1944 0:00,9.00,USGS-09152500,240
10/11/1944 0:00,10.00,USGS-09152500,220
10/17/1944 0:00,10.00,USGS-09152500,220
1/11/1945 0:00,1.00,USGS-09152500,140
5/11/1945 0:00,5.00,USGS-09152500,42
6/11/1945 0:00,6.00,USGS-09152500,51
9/11/1945 0:00,9.00,USGS-09152500,232
10/11/1945 0:00,10.00,USGS-09152500,194
1/11/1946 0:00,1.00,USGS-09152500,140
5/11/1946 0:00,5.00,USGS-09152500,78
6/8/1946 0:00,6.00,USGS-09152500,56
9/11/1946 0:00,9.00,USGS-09152500,223
10/11/1946 0:00,10.00,USGS-09152500,182
1/11/1947 0:00,1.00,USGS-09152500,142
5/11/1947 0:00,5.00,USGS-09152500,48
6/11/1947 0:00,6.00,USGS-09152500,54
9/11/1947 0:00,9.00,USGS-09152500,153
10/11/1947 0:00,10.00,USGS-09152500,169
1/11/1948 0:00,1.00,USGS-09152500,121
5/11/1948 0:00,5.00,USGS-09152500,41
6/13/1948 0:00,6.00,USGS-09152500,44
9/11/1948 0:00,9.00,USGS-09152500,234
10/11/1948 0:00,10.00,USGS-09152500,210
1/11/1949 0:00,1.00,USGS-09152500,138
5/11/1949 0:00,5.00,USGS-09152500,50
6/11/1949 0:00,6.00,USGS-09152500,55
9/11/1949 0:00,9.00,USGS-09152500,200
10/1/1947 0:00,10.00,USGS-09177000,128
5/9/1948 0:00,5.00,USGS-09177000,40
10/1/1947 0:00,10.00,USGS-09179500,97
10/11/1947 0:00,10.00,USGS-09179500,135
10/18/1947 0:00,10.00,USGS-09179500,82
1/1/1948 0:00,1.00,USGS-09179500,100
1/11/1948 0:00,1.00,USGS-09179500,102
1/21/1948 0:00,1.00,USGS-09179500,107
5/1/1948 0:00,5.00,USGS-09179500,48
5/11/1948 0:00,5.00,USGS-09179500,48
5/21/1948 0:00,5.00,USGS-09179500,44
6/1/1948 0:00,6.00,USGS-09179500,41
6/11/1948 0:00,6.00,USGS-09179500,39
6/21/1948 0:00,6.00,USGS-09179500,56
9/1/1948 0:00,9.00,USGS-09179500,114
9/11/1948 0:00,9.00,USGS-09179500,135
9/21/1948 0:00,9.00,USGS-09179500,145
10/1/1948 0:00,10.00,USGS-09179500,125
10/11/1948 0:00,10.00,USGS-09179500,118
10/21/1948 0:00,10.00,USGS-09179500,119
1/1/1949 0:00,1.00,USGS-09179500,130
1/11/1949 0:00,1.00,USGS-09179500,118
1/15/1949 0:00,1.00,USGS-09179500,86
1/21/1949 0:00,1.00,USGS-09179500,118
5/1/1949 0:00,5.00,USGS-09179500,48
5/11/1949 0:00,5.00,USGS-09179500,45
5/21/1949 0:00,5.00,USGS-09179500,42
6/1/1949 0:00,6.00,USGS-09179500,45
6/11/1949 0:00,6.00,USGS-09179500,46
6/21/1949 0:00,6.00,USGS-09179500,43
9/1/1949 0:00,9.00,USGS-09179500,141
9/11/1949 0:00,9.00,USGS-09179500,161
9/21/1949 0:00,9.00,USGS-09179500,171
10/13/1949 0:00,10.00,USGS-09179500,129
9/19/1947 0:00,9.00,USGS-09247500,37
9/19/1947 0:00,9.00,USGS-09249500,49
6/22/1947 0:00,6.00,USGS-09251000,14
9/19/1947 0:00,9.00,USGS-09304500,62
6/8/1948 0:00,6.00,USGS-09306300,39
9/30/1948 0:00,9.00,USGS-09306300,76
6/8/1948 0:00,6.00,USGS-09306380,62
9/30/1948 0:00,9.00,USGS-09306380,85
10/11/1943 0:00,10.00,USGS-09095500,87
10/14/1943 0:00,10.00,USGS-09095500,87
1/11/1944 0:00,1.00,USGS-09095500,100
5/1/1944 0:00,5.00,USGS-09095500,67
5/11/1944 0:00,5.00,USGS-09095500,46
6/11/1944 0:00,6.00,USGS-09095500,38
9/18/1944 0:00,9.00,USGS-09095500,86
10/11/1944 0:00,10.00,USGS-09095500,87
1/11/1945 0:00,1.00,USGS-09095500,86
1/13/1945 0:00,1.00,USGS-09095500,86
1/20/1945 0:00,1.00,USGS-09095500,86
5/11/1945 0:00,5.00,USGS-09095500,48
6/11/1945 0:00,6.00,USGS-09095500,32
9/11/1945 0:00,9.00,USGS-09095500,71
10/11/1945 0:00,10.00,USGS-09095500,74
1/13/1946 0:00,1.00,USGS-09095500,73
5/11/1946 0:00,5.00,USGS-09095500,36
6/11/1946 0:00,6.00,USGS-09095500,32
9/11/1946 0:00,9.00,USGS-09095500,87
10/11/1946 0:00,10.00,USGS-09095500,86
1/11/1947 0:00,1.00,USGS-09095500,88
5/11/1947 0:00,5.00,USGS-09095500,37
6/11/1947 0:00,6.00,USGS-09095500,34
6/13/1947 0:00,6.00,USGS-09095500,34
9/11/1947 0:00,9.00,USGS-09095500,83
10/11/1947 0:00,10.00,USGS-09095500,80
1/11/1948 0:00,1.00,USGS-09095500,69
5/11/1948 0:00,5.00,USGS-09095500,48
6/11/1948 0:00,6.00,USGS-09095500,32
9/11/1948 0:00,9.00,USGS-09095500,91
10/11/1948 0:00,10.00,USGS-09095500,92
1/11/1949 0:00,1.00,USGS-09095500,77
5/11/1949 0:00,5.00,USGS-09095500,46
6/11/1949 0:00,6.00,USGS-09095500,37
9/11/1949 0:00,9.00,USGS-09095500,80
9/19/1947 0:00,9.00,USGS-09306210,60
6/16/1947 0:00,6.00,USGS-403144108584900,23
9/18/1948 0:00,9.00,USGS-403144108584900,44
6/22/1947 0:00,6.00,USGS-403212108051900,14
9/18/1948 0:00,9.00,USGS-403232108594201,74
6/12/1949 0:00,6.00,USGS-13089500,60
10/27/1949 0:00,10.00,USGS-13089500,58
6/12/1949 0:00,6.00,USGS-13091000,54
10/27/1949 0:00,10.00,USGS-13091000,54
6/13/1949 0:00,6.00,USGS-13094500,44
10/27/1949 0:00,10.00,USGS-13094500,44
6/13/1949 0:00,6.00,USGS-13095175,42
10/27/1949 0:00,10.00,USGS-13095175,39
6/13/1949 0:00,6.00,USGS-13095500,34
10/27/1949 0:00,10.00,USGS-13095500,36
6/13/1949 0:00,6.00,USGS-13132800,36
10/27/1949 0:00,10.00,USGS-13132800,37
6/12/1949 0:00,6.00,USGS-13133800,30
10/27/1949 0:00,10.00,USGS-13133800,32
5/29/1947 0:00,5.00,USGS-420040112431001,86
5/29/1947 0:00,5.00,USGS-420145112392001,67
5/29/1947 0:00,5.00,USGS-420145112413701,89
5/29/1947 0:00,5.00,USGS-420232112425501,226
5/29/1947 0:00,5.00,USGS-420304112312901,292
5/29/1947 0:00,5.00,USGS-420304112313301,113
5/29/1947 0:00,5.00,USGS-420307112281201,58
5/29/1947 0:00,5.00,USGS-420334112413701,66
10/17/1947 0:00,10.00,USGS-420516112145701,125
5/29/1947 0:00,5.00,USGS-420543112300201,126
5/29/1947 0:00,5.00,USGS-420643112294001,107
10/17/1947 0:00,10.00,USGS-420807112134301,137
10/17/1947 0:00,10.00,USGS-420817112195801,62
10/17/1947 0:00,10.00,USGS-420904112140101,119
10/15/1947 0:00,10.00,USGS-420914112155801,81
10/15/1947 0:00,10.00,USGS-420921112160501,131
10/15/1947 0:00,10.00,USGS-420948112150501,78
5/29/1947 0:00,5.00,USGS-421000112383001,93
5/29/1947 0:00,5.00,USGS-421059112350601,127
10/25/1944 0:00,10.00,USGS-421139112144501,198
5/29/1947 0:00,5.00,USGS-421150112404501,124
5/29/1947 0:00,5.00,USGS-421239112365101,90
5/29/1947 0:00,5.00,USGS-421245112420301,122
5/29/1947 0:00,5.00,USGS-421250112404801,124
5/29/1947 0:00,5.00,USGS-421255112422201,122
5/29/1947 0:00,5.00,USGS-421331112345201,82
6/25/1947 0:00,6.00,USGS-421548113205301,59
6/9/1949 0:00,6.00,USGS-422818113225801,59
1/26/1945 0:00,1.00,USGS-423200113472601,33
5/13/1948 0:00,5.00,USGS-424006113355301,54
6/10/1949 0:00,6.00,USGS-424006113355301,52
10/27/1949 0:00,10.00,USGS-424006113355301,62
5/13/1948 0:00,5.00,USGS-424142113340901,54
6/10/1949 0:00,6.00,USGS-424348113242701,35
10/28/1949 0:00,10.00,USGS-424348113242701,40
6/11/1949 0:00,6.00,USGS-424431113412301,46
10/17/1946 0:00,10.00,USGS-424511113291401,38
5/13/1948 0:00,5.00,USGS-424518113282002,39
6/10/1947 0:00,6.00,USGS-424659113433701,39
9/11/1945 0:00,9.00,USGS-09357000,55
9/12/1945 0:00,9.00,USGS-09363500,75
5/22/1944 0:00,5.00,USGS-09367500,110
10/10/1944 0:00,10.00,USGS-09367500,260
9/10/1945 0:00,9.00,USGS-09367500,370
5/27/1946 0:00,5.00,USGS-09367500,310
6/13/1946 0:00,6.00,USGS-09367500,280
6/30/1946 0:00,6.00,USGS-09367500,310
9/20/1946 0:00,9.00,USGS-09367500,210
10/18/1946 0:00,10.00,USGS-09367500,120
9/11/1949 0:00,9.00,USGS-09415000,379
10/11/1949 0:00,10.00,USGS-09415000,336
1/11/1946 0:00,1.00,USGS-09421500,86
1/3/1949 0:00,1.00,USGS-09421500,82
1/11/1949 0:00,1.00,USGS-09421500,81
6/1/1949 0:00,6.00,USGS-09421500,86
9/21/1949 0:00,9.00,USGS-09421500,79
10/11/1949 0:00,10.00,USGS-09421500,76
10/12/1943 0:00,10.00,USGS-09180500,152
1/11/1944 0:00,1.00,USGS-09180500,142
5/11/1944 0:00,5.00,USGS-09180500,53
5/16/1944 0:00,5.00,USGS-09180500,53
6/11/1944 0:00,6.00,USGS-09180500,49
9/11/1944 0:00,9.00,USGS-09180500,192
9/15/1944 0:00,9.00,USGS-09180500,192
9/19/1944 0:00,9.00,USGS-09180500,192
