like,pardischarge,parthickness,parporosity,parage,pardelT,parflux,simulation0,chain
-236467.914178,28800.4092,1764.62216706,0.130978305194,9952.99669253,7.72041733298,150.660738122,236467.914178,1
-236467.914178,28800.4092,1764.62216706,0.130978305194,9952.99669253,7.72041733298,150.660738122,236467.914178,1
-3488748.87094,28907.4147762,3195.66585095,0.029233902987,16023.3813989,7.09650875713,139.694758749,3488748.87094,1
-909314.615491,21176.9826075,1026.51772411,0.101200509427,9191.27324291,17.5767241356,133.827241954,909314.615491,1
-517855.591121,31273.8645044,6232.56997392,0.0518850625887,15047.9268398,7.92124046049,125.622625226,517855.591121,1
-1296836.46906,20545.4529199,6640.62394556,0.193928274926,12144.8806169,10.0604843997,138.748032038,1296836.46906,1
-1922374.46998,29881.4019185,4317.00162709,0.155667986949,16521.4525513,8.11090774853,91.2704209618,1922374.46998,1
-4051033.3397,32276.5143808,4723.11835937,0.190342930104,13938.3288294,8.09358985343,57.4287919244,4051033.3397,1
-7876268.52144,30741.6422998,3158.54139757,0.129278742897,13637.0603051,14.3716763225,49.6537870728,7876268.52144,1
-2542903.10526,25833.1809737,1984.17344991,0.0622903356539,11820.9827203,13.9826963942,72.0883367005,2542903.10526,1
-3132088.49943,31854.6247568,4874.85986992,0.173864474656,15983.9750976,12.5107252643,106.824025871,3132088.49943,1
-2134111.06471,34273.0033649,4253.58229758,0.186123375559,15841.7054932,11.7101476692,142.406741953,2134111.06471,1
-6546055.11418,22009.5150475,5875.7676209,0.14506896544,16320.0493308,17.3524566092,54.8465103287,6546055.11418,1
-6475805.17296,31084.9333124,3595.12052971,0.1644179457,7967.49596572,13.646718497,61.5613461272,6475805.17296,1
-2815180.678,31333.1141098,7186.99118783,0.0691249251193,12585.2520026,15.6281800418,135.764139766,2815180.678,1
-2037166.28518,22912.2681137,5934.93463033,0.035292101305,9345.82574014,17.1396570587,128.431488259,2037166.28518,1
-4626673.98159,22847.5871142,3476.42238165,0.199321701793,9565.11554658,16.6011444233,76.7930518724,4626673.98159,1
-2847247.5252,22582.6826896,4890.22923989,0.156774568447,10188.498819,8.65969804577,62.1704192175,2847247.5252,1
-70554.670412,32054.336829,882.664723793,0.143780407657,8534.48187024,5.72562272801,88.0735187537,70554.670412,1
-1251060.77111,28299.6059273,7363.94577468,0.165358919754,13743.2961026,4.41746354234,79.6486238895,1251060.77111,1
-3296170.1312,28085.5741495,4174.19547786,0.142737549162,11275.5665006,11.4829746271,84.3050941839,3296170.1312,1
-978847.625855,24757.885349,2965.21959264,0.178138465251,14004.695836,6.30122495682,95.4563884196,978847.625855,1
-4684661.67602,26459.526184,7756.06242936,0.107019555419,14161.7383896,8.29915101104,42.7793583894,4684661.67602,1
-699760.073595,33512.6809487,3072.33937578,0.0504029907275,11206.8899561,8.75554952032,93.9470764809,699760.073595,1
-2941686.19516,31775.885243,5656.93418467,0.132729081847,8399.6317769,12.3949060228,119.523190322,2941686.19516,1
-2246103.01922,20222.3290405,5807.88348386,0.17390438995,10278.7527675,14.4506389579,119.252297909,2246103.01922,1
-1689594.0173,34224.9245717,6723.85018285,0.0382909954639,10890.6576889,9.26920683351,101.176567644,1689594.0173,1
-5309872.64847,26473.2289112,6055.11328151,0.187958956734,8301.17061491,13.4687319618,64.8318858106,5309872.64847,1
-411763.967408,22353.6578195,1645.14912178,0.0665291081814,13411.9096522,17.5988716686,124.923148945,411763.967408,1
-2773989.22404,34891.7891909,2510.18432937,0.192813082181,16079.5729861,14.1145714799,125.284844262,2773989.22404,1
-1598692.44805,31819.4596626,5571.24677114,0.0217695395002,16085.7800592,9.69389338669,117.731085934,1598692.44805,1
-468844.940917,21746.4250642,1588.03480034,0.102057493873,10631.7832916,13.279606426,152.448597351,468844.940917,1
-2744933.40015,28674.6575168,3217.64747254,0.125075403525,14262.4811559,15.2421062945,116.271990674,2744933.40015,1
-962101.096532,20495.0340869,2310.92042028,0.0740222013701,15860.3022877,4.56936605161,99.8802545206,962101.096532,1
-247523.241096,33603.2393007,6740.48029748,0.0348683667203,9723.65281986,3.91681203537,80.411059283,247523.241096,1
-8264399.49503,33903.596607,6271.11933428,0.124911219326,13906.0688097,17.0352012061,65.1783982679,8264399.49503,1
-1785844.63821,29394.0481058,7557.44052102,0.065848687785,12757.0067294,7.02923702067,81.413545239,1785844.63821,1
-1038884.94993,30904.7069624,7171.19145219,0.163169412817,9821.14425156,4.39113715431,104.588974872,1038884.94993,1
-7390995.79036,29449.4062622,6667.80617287,0.117395695647,12055.4893304,17.4431289073,65.5216317437,7390995.79036,1
-600399.341016,24891.7995742,5966.47987489,0.0266615771181,12550.2514187,13.364096612,129.804589365,600399.341016,1
-833036.289116,29182.4043112,3910.43834393,0.0620735281836,14965.984422,3.91164389063,118.20974542,833036.289116,1
-2893501.09952,25085.6163673,6089.74380614,0.0952011000353,12629.2707019,9.91886223103,72.3742628997,2893501.09952,1
-7655357.16399,30616.2512649,4700.68734554,0.107917067005,14108.0484215,11.3537348309,40.8860331509,7655357.16399,1
-2395380.36268,20333.7137422,6263.7567978,0.164744254947,14727.9297682,10.8844903062,82.4587171113,2395380.36268,1
-2547194.53123,23768.0603827,7728.92748883,0.104311103369,15149.2011356,15.5767591938,123.736622616,2547194.53123,1
-1177722.10476,21269.5281448,6362.08169394,0.187356260544,13509.1193846,9.76535997218,146.481694572,1177722.10476,1
-3185880.77194,22176.5419877,5742.56541284,0.0932656083613,12274.3740139,10.6936620327,64.233451563,3185880.77194,1
-2843633.86397,31995.608067,5802.09309915,0.0377380658265,10514.1312757,12.6041184748,92.1252584074,2843633.86397,1
-1056729.04235,30875.9835703,821.750594081,0.162215553787,10112.9260298,6.05958244806,145.605546673,1056729.04235,1
-563899.743519,27877.6565711,5037.71407,0.0675120594169,14633.1096279,5.1172807283,80.9490006189,563899.743519,1
-3102574.54273,25679.5772023,3143.60154591,0.0242484959328,13608.6638145,7.87279670236,136.503892165,3102574.54273,1
-5545519.60411,21826.2997012,6834.89659778,0.177886284235,15854.5626387,14.2536520338,53.3923718405,5545519.60411,1
-5734969.79645,27779.9368647,5748.00547383,0.064834281512,8514.76374326,10.3233932767,45.0492017253,5734969.79645,1
-462258.914021,28956.4229299,1573.41783563,0.129532793384,9478.56185373,3.86544799303,126.630577721,462258.914021,1
-561888.022995,20020.5154908,2922.78549648,0.135399376583,11975.8010178,8.95181550516,153.564920163,561888.022995,1
-551380.327462,25536.4997244,2599.78313944,0.0290344799961,8439.22983633,7.86300898396,58.9797409234,551380.327462,1
-745143.797804,27961.6253305,6047.67955389,0.155574192103,13890.1780752,4.74519841763,114.651421133,745143.797804,1
-1617540.51989,33983.0330603,7541.53766915,0.165786757291,11290.2009349,8.18618309634,144.643047539,1617540.51989,1
-1989927.64206,27747.2922032,6394.64098406,0.135850274337,8910.04703839,10.686082489,130.437035528,1989927.64206,1
-20125923.9061,23549.9431684,735.213454789,0.0192060649349,12691.5806662,5.95476309394,134.814559628,20125923.9061,1
-3698711.80749,20247.039751,5269.42376329,0.158744217311,12541.9167979,16.9985376634,86.0432183405,3698711.80749,1
-2731826.61268,23266.1351818,1549.27962676,0.0788533688837,13651.0757456,14.607164966,63.7795634909,2731826.61268,1
-676267.48425,23807.807249,5593.91598627,0.130647784819,8154.60695827,3.93671147472,99.5619233784,676267.48425,1
-1030641.21917,33342.1433988,6381.70397299,0.0764188579055,15091.7116002,9.05276352426,146.435070703,1030641.21917,1
-3107309.1836,31621.9695744,6334.75073058,0.0627266198555,12152.2648614,13.66832899,106.143380046,3107309.1836,1
-4988641.55819,32087.6486394,5991.16155495,0.181051882698,9080.09398567,13.0216874986,79.5240425091,4988641.55819,1
-5698810.71491,23326.6356554,2048.95081432,0.0588987940682,10557.9943792,14.5264463957,43.8071791497,5698810.71491,1
-3672810.55819,33575.794535,7137.8060482,0.0686366962881,11234.7164706,9.1919529859,69.5075519258,3672810.55819,1
-3755584.71172,23250.8591592,3618.12317854,0.192120098189,15018.3230996,12.7868597923,69.8643776282,3755584.71172,1
-205519.32953,32154.8930757,5075.18331076,0.0333316550445,13761.2772907,7.56204599546,86.2367881162,205519.32953,1
-4486263.2453,31672.0079614,2108.65601061,0.180349911971,8548.46364824,15.6207585015,95.2305488406,4486263.2453,1
-1493697.94108,25136.7972048,7827.62706605,0.111726095426,12640.0083345,4.89877830835,66.3493298599,1493697.94108,1
-6017139.95069,31306.4945974,964.970206791,0.0380311315902,15915.6974969,11.8541023136,49.1173966674,6017139.95069,1
-1582103.16654,25225.1319327,4160.35140019,0.0280172899857,12146.4302943,5.82185446787,140.412194687,1582103.16654,1
-971678.371899,28263.3038283,3653.81434685,0.0735646675128,10385.512142,3.8264531449,52.435131315,971678.371899,1
-1364124.29648,24774.2564856,3284.91985035,0.081976235603,13833.2098283,12.7573504424,119.933054571,1364124.29648,1
-1280598.50373,24382.6596296,5817.32359409,0.0264355214814,8366.69683424,4.65675472523,43.5762759633,1280598.50373,1
-1328186.79396,27359.6896913,4920.25270445,0.0216363546385,10935.7380522,9.17109343796,60.6622512605,1328186.79396,1
-2248259.37768,21372.6129402,7011.82415199,0.0622677499531,13816.825327,15.4461391093,112.943510529,2248259.37768,1
-1251587.2682,21155.6730392,7819.34069612,0.182872394089,8103.16009269,8.6237913971,133.103617073,1251587.2682,1
-1805739.80037,28473.7854483,3507.14347473,0.183906375194,8324.39422094,8.01007108217,105.009169389,1805739.80037,1
-1240552.04944,30960.5431287,6465.29930789,0.0924978835815,12612.4488876,8.58785460895,140.500049715,1240552.04944,1
-273040.614101,32725.1278216,5649.1152558,0.0419448620033,11084.8222566,7.5621316622,137.262385526,273040.614101,1
-6366783.01883,30329.1890913,5999.39623425,0.113836122529,14778.0415281,10.8538011193,46.8994389003,6366783.01883,1
