Param,ParamGroup,ProjectId,ResultStatus,ResultValue,SampleDate,SampleId,SampMedia,StationId,Unit,USGSPCode
Calcium,"Inorganics, Major, Metals",USGS,Historical,107,3/1/1929 0:00,nwisaz.01.92900016,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,104,3/11/1929 0:00,nwisaz.01.92900017,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,93,3/21/1929 0:00,nwisaz.01.92900018,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,82,4/1/1929 0:00,nwisaz.01.92900019,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,68,4/11/1929 0:00,nwisaz.01.92900020,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,60,4/21/1929 0:00,nwisaz.01.92900021,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,60,5/1/1929 0:00,nwisaz.01.92900022,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,47,5/11/1929 0:00,nwisaz.01.92900023,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,38,5/21/1929 0:00,nwisaz.01.92900024,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,44,6/1/1929 0:00,nwisaz.01.92900025,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,35,6/11/1929 0:00,nwisaz.01.92900026,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,40,6/21/1929 0:00,nwisaz.01.92900027,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,43,7/1/1929 0:00,nwisaz.01.92900028,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,54,7/11/1929 0:00,nwisaz.01.92900029,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,84,7/21/1929 0:00,nwisaz.01.92900030,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,140,8/1/1929 0:00,nwisaz.01.92900031,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,91,8/11/1929 0:00,nwisaz.01.92900032,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,82,8/21/1929 0:00,nwisaz.01.92900033,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,121,9/1/1929 0:00,nwisaz.01.92900034,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,97,9/11/1929 0:00,nwisaz.01.92900035,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,98,9/21/1929 0:00,nwisaz.01.92900036,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,79,10/1/1929 0:00,nwisaz.01.93000001,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,85,10/11/1929 0:00,nwisaz.01.93000002,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,89,10/21/1929 0:00,nwisaz.01.93000003,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,96,11/1/1929 0:00,nwisaz.01.93000004,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,97,11/11/1929 0:00,nwisaz.01.93000005,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,103,11/21/1929 0:00,nwisaz.01.93000006,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,108,12/1/1929 0:00,nwisaz.01.93000007,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,103,12/11/1929 0:00,nwisaz.01.93000008,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,100,12/21/1929 0:00,nwisaz.01.93000009,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,123,1/1/1930 0:00,nwisaz.01.93000010,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,113,1/11/1930 0:00,nwisaz.01.93000011,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,125,1/21/1930 0:00,nwisaz.01.93000012,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,113,2/1/1930 0:00,nwisaz.01.93000013,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,101,2/11/1930 0:00,nwisaz.01.93000014,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,105,2/20/1930 0:00,nwisaz.01.93000015,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,95,3/1/1930 0:00,nwisaz.01.93000016,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,99,3/11/1930 0:00,nwisaz.01.93000017,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,93,3/21/1930 0:00,nwisaz.01.93000018,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,84,4/1/1930 0:00,nwisaz.01.93000019,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,63,4/11/1930 0:00,nwisaz.01.93000020,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,52,4/21/1930 0:00,nwisaz.01.93000021,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,47,5/1/1930 0:00,nwisaz.01.93000022,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,53,5/11/1930 0:00,nwisaz.01.93000023,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,53,5/21/1930 0:00,nwisaz.01.93000024,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,48,6/1/1930 0:00,nwisaz.01.93000025,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,41,6/11/1930 0:00,nwisaz.01.93000026,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,47,6/21/1930 0:00,nwisaz.01.93000027,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,51,7/1/1930 0:00,nwisaz.01.93000028,Surface Water,USGS-09380000,mg/l,915
